BI – Białystok (GPS 53°08’N , 23°08’E)
BIA – Białystok (powiat)
GPU – Puck
GS – Słupsk
GSL – Słupsk (powiat)
GSP – Sopot
GST – Starogard Gdański
GSZ – Sztum
GTC – Tczew
GWE – Wejherowo
KR – Kraków (GPS 50°03’N , 19°56’E)
KRA – Kraków (powiat)
KBC – Bochnia
KBR – Brzesko
KCH – Chrzanów
KDA – Dąbrowa Tarnowska
KGR – Gorlice
KLI – Limanowa
KMI – Miechów
KMY – Myślenice
KN – Nowy Sącz
KNS – Nowy Sącz (powiat)
KNT – Nowy Targ
KOL – Olkusz
KOS – Oświęcim
KPR – Proszowice
KSU – Sucha Beskidzka
KT – Tarnów
KTA – Tarnów (powiat)
KTT – Zakopane
KWA – Wadowice
KWI – Wieliczka
LU – Lublin (GPS 51°14’N , 22°34’E)
LUB – Lublin (powiat)
LB – Biała Podlaska
LBI – Biała Podlaska (powiat)
LBL – Biłgoraj
LC – Chełm (miasto)
LCH – Chełm (powiat)
LHR – Hrubieszów
LJA – Janów Lubelski
LKR – Kraśnik
LKS – Krasnystaw
LLB – Lubartów
LLE – Łęczna
LLU – Łuków
LOP – Opole Lubelskie
LPA – Parczew
LPU – Puławy
LRA – Radzyń Podlaski
LRY – Ryki
LSW – Świdnik
LTM – Tomaszów Lubelski
LWL – Włodawa
LZ – Zamość
LZA – Zamość (powiat)
NO – Olsztyn (GPS 53°47’N , 20°30’E)
NOL – Olsztyn (powiat)
NBA – Bartoszyce
NBR – Braniewo
NDZ – Działdowo
NE – Elbląg (miasto)
NEB – Elbląg (powiat)
NEL – Ełk
NGI – Giżycko
NGO – Gołdap
NIL – Iława
NKE – Kętrzyn
NLI – Lidzbark Warmiński
NMR – Mrągowo
NNI – Nidzica
NNM – Nowe Miasto Lubawskie
NOE – Olecko
NOG – Olecko
NOS – Ostróda
NPI – Pisz
NSZ – Szczytno
NWE – Węgorzewo
OP – Opole (GPS 50°39’N , 17°55’E)
OPO – Opole (powiat)
OB – Brzeg
OGL – Głubczyce
OK – Kędzierzyn — Koźle
OKL – Kluczbork
OKR – Krapkowice
ONA – Namysłów
ONY – Nysa
OOL – Olesno
OPR – Prudnik
OST – Strzelce Opolskie
PO – Poznań (52°24’N , 16°56’E)
PY – Poznań
PZ – Poznań
POZ – Poznań (powiat)
PCH – Chodzież
PCT – Czarnków
PGN – Gniezno
PGO – Grodzisk Wielkopolski
PGS – Gostyń
PJA – Jarocin
PK – Kalisz
PKA – Kalisz (powiat)
PKE – Kępno
PKL – Koło
PKN – Konin (powiat)
PKO – Konin
PKR – Krotoszyn
PKS – Kościan
PL – Leszno
PLE – Leszno (powiat)
PMI – Międzychód
PN – Konin
PNT – Nowy Tomyśl
POB – Oborniki
POS – Ostrów Wielkopolski
POT – Ostrzeszów
PP – Piła
PPL – Pleszew
PRA – Rawicz
PSE – Śrem
PSL – Słupca
PSR – Środa Wielkopolska
PSZ – Szamotuły
PTU – Turek
PWA – Wągrowiec
PWL – Wolsztyn
PWR – Września
PZL – Złotów
RZ – Rzeszów (GPS 50°02’N , 22°E)
RZE – Rzeszów (powiat)
RBI – Ustrzyki Dolne
RBR – Brzozów
RDE – Dębica
RJA – Jarosław
RJS – Jasło
RK – Krosno
RKL – Kolbuszowa
RKR – Krosno (powiat)
RLA – Łańcut
RLE – Leżajsk
RLS – Lesko
RLU – Lubaczów
RMI – Mielec
RNI – Nisko
RP – Przemyśl
RPR – Przemyśl (powiat)
RPZ – Przeworsk
RRS – Ropczyce
RSA – Sanok
RSR – Strzyżów
RST – Stalowa Wola
RT – Tarnobrzeg
RTA – Tarnobrzeg (powiat)
SK – Katowice (GPS 50°15’N , 19°01’E)
SB – Bielsko-Biała
SBE – Będzin
SBI – Bielsko-Biała (powiat)
SBL – Tychy (powiat )
SC – Częstochowa
SCI – Cieszyn
SCZ – Częstochowa (powiat)
SD – Dąbrowa Górnicza
SG – Gliwice
SGL – Gliwice (powiat)
SH – Chorzów
SI – Siemianowice Śląskie
SJ – Jaworzno
SJZ – Jastrzębie Zdrój
SKL – Kłobuck
SL – Ruda Śląska
SLU – Lubliniec
SM – Mysłowice
SMI – Mikołów
SMY – Myszków
SO – Sosnowiec
SPI – Piekary Śląskie
SPS – Pszczyna
SR – Rybnik
SRB – Rybnik (powiat)
SRC – Racibórz
SRS – Ruda Śląska
ST – Tychy
STA – Tarnowskie Góry
STY – Tychy
SW – Świętochłowice
SWD – Wodzisław Śląski
SY – Bytom
SZ – Zabrze
SZA – Zawiercie
SZO – Żory
SZY – Żywiec
TK – Kielce (GPS 50°53’N , 20°37’E)
TKI – Kielce (powiat)
TBU – Busko Zdrój
TJE – Jędrzejów
TKA – Kazimierza Wielka
TKN – Końskie
TLW – Włoszczowa
TOP – Opatów
TOS – Ostrowiec Świętokrzyski
TPI – Pińczów
TSA – Sandomierz
TSK – Skarżysko-Kamienna
TST – Starachowice
TSZ – Staszów
WE – Warszawa Mokotów (GPS 21°03’E 52°09’N)
WB – Warszawa Bemowo
WA – Warszawa Białołęka
WD – Warszawa Bielany
WU – Warszawa Ochota
WH – Warszawa Praga Północ
WF – Warszawa Praga Południe
WW – Warszawa Rembertów, Wilanów, Włochy
WI – Warszawa Śródmieście
WJ – Warszawa Targówek
WK – Warszawa Ursus
WN – Warszawa Ursynów
WT – Warszawa Wawer
WX – Warszawa Wesoła, Żoliborz
WY – Warszawa Wola
WBR – Białobrzegi
WCI – Ciechanów
WGM – Grodzisk Mazowiecki
WGR – Grójec
WGS – Gostynin
WKZ – Kozienice
WL – Legionowo
WLI – Lipsko
WLS – Łosice
WM – Mińsk Mazowiecki
WMA – Maków Mazowiecki
WML – Mława
WND – Nowy Dwór Mazowiecki
WO – Ostrołęka
WOR – Ostrów Mazowiecka
WOS – Ostrołęka (powiat)
WOT – Otwock
WP – Płock
WPI – Piaseczno
WPL – Płock (powiat)
WPN – Płońsk
WPR – Pruszków
WPU – Pułtusk
WPY – Przysucha
WPZ – Przasnysz
WR – Radom
WRA – Radom (powiat)
WS – Siedlce
WSC – Sochaczew
WSE – Sierpc
WSK – Sokołów Podlaski
WSI – Siedlce (powiat)
WSZ – Szydłowiec
WWE – Węgrów
WWL – Wołomin
WWY – Wyszków
WZU – Żuromin
WZW – Zwoleń
WZY – Żyrardów
ZS – Szczecin (GPS 53°26’N , 14°32’E)
ZZ – Szczecin
ZBI – Białogard
ZCH – Choszczno
ZDR – Drawsko Pomorskie
ZGL – Goleniów
ZGR – Gryfino
ZGY – Gryfice
ZK – Koszalin
ZKA – Kamień Pomorski
ZKL – Kołobrzeg
ZKO – Koszalin (powiat)
ZLO – Łobez
ZMY – Myślibórz
ZPL – Police
ZPY – Pyrzyce
ZSD – Świdwin
ZSL – Sławno
ZST – Stargard Szczeciński
ZSW – Świnoujście
ZSZ – Szczecinek
ZWA – Wałcz
